Frequency,Power
8050000.000000,953.164391
8052000.000000,1352.859363
8054000.000000,666.740670
8056000.000000,1054.894808
8058000.000000,681.551013
8060000.000000,1777.624090
8062000.000000,967.534398
8064000.000000,729.135266
8066000.000000,686.796621
8068000.000000,828.065050
8070000.000000,555.367586
8072000.000000,1215.419443
8074000.000000,1187.689391
8076000.000000,2115.948034
8078000.000000,2981.041580
8080000.000000,7068.977259
8082000.000000,11056.165504
8084000.000000,3542.603257
8086000.000000,1987.438539
8088000.000000,1301.347883
8090000.000000,486.623222
8092000.000000,734.016899
8094000.000000,2225.320227
8096000.000000,1042.884040
8098000.000000,6223.730867
8100000.000000,826.655593
8102000.000000,1153.587608
8104000.000000,4522.899685
8106000.000000,1449.158472
8108000.000000,654.188558
8110000.000000,1687.950229
8112000.000000,1602.333071
8114000.000000,1761.524492
8116000.000000,692.049099
8118000.000000,478.202030
8120000.000000,541.382344
8122000.000000,903.562936
8124000.000000,912.547079
8126000.000000,1428.780589
8128000.000000,1887.545129
8130000.000000,519.945945
8132000.000000,1681.040150
8134000.000000,3210.788420
8136000.000000,1133.551148
8138000.000000,984.324360
8140000.000000,4809.634554
8142000.000000,6283.579759
8144000.000000,2976.297462
8146000.000000,5309.619261
8148000.000000,9091.175812
8150000.000000,1763.096077
8152000.000000,866.821510
8154000.000000,1111.557260
8156000.000000,334.269314
8158000.000000,468.823132
8160000.000000,415.495215
8162000.000000,428.688473
8164000.000000,499.737086
8166000.000000,237.845688
8168000.000000,409.234726
8170000.000000,329.928494
8172000.000000,18.893056
8174000.000000,510.314558
8176000.000000,385.467346
8178000.000000,368.220708
8180000.000000,1103.636800
8182000.000000,1492.700689
8184000.000000,1385.823177
8186000.000000,1590.343723
8188000.000000,2282.427121
8190000.000000,2891.725929
8192000.000000,1120.042576
8194000.000000,1581.435460
8196000.000000,4042.620719
8198000.000000,437.062909
8200000.000000,1380.520387
8202000.000000,7449.808039
8204000.000000,1049.782526
8206000.000000,1017.006086
8208000.000000,1698.683883
8210000.000000,689.942169
8212000.000000,2639.618011
8214000.000000,1630.827397
8216000.000000,2404.351042
8218000.000000,5402.090854
8220000.000000,1077.054035
8222000.000000,846.969680
8224000.000000,582.260263
8226000.000000,1397.305781
8228000.000000,5415.720043
8230000.000000,945.344051
8232000.000000,854.556606
8234000.000000,1076.211227
8236000.000000,578.514138
8238000.000000,610.691185
8240000.000000,224.984780
8242000.000000,1353.794689
8244000.000000,248.482839
8246000.000000,1557.172013
8248000.000000,1367.258454
8250000.000000,665.217739
8252000.000000,937.155366
8254000.000000,532.820333
8256000.000000,591.890336
8258000.000000,1431.593344
8260000.000000,532.537559
8262000.000000,759.221187
8264000.000000,1620.187351
8266000.000000,1966.418140
8268000.000000,3085.006044
8270000.000000,1651.386664
8272000.000000,474.582322
8274000.000000,103.170983
8276000.000000,863.972905
8278000.000000,1719.096229
8280000.000000,384.445373
8282000.000000,822.082116
8284000.000000,422.136352
8286000.000000,253.716745
8288000.000000,784.742133
8290000.000000,863.550832
8292000.000000,1139.667389
8294000.000000,2396.129277
8296000.000000,327.261529
8298000.000000,646.546434
8300000.000000,92.753951
8302000.000000,1143.631900
8304000.000000,372.410257
8306000.000000,894.264783
8308000.000000,828.651336
8310000.000000,1538.023803
8312000.000000,1935.013572
8314000.000000,1353.789463
8316000.000000,8331.660644
8318000.000000,3739.349885
8320000.000000,3145.485450
8322000.000000,1703.831460
8324000.000000,5729.519277
8326000.000000,2775.884747
8328000.000000,919.814976
8330000.000000,574.629600
8332000.000000,1027.408258
8334000.000000,344.346076
8336000.000000,720.162730
8338000.000000,895.155323
8340000.000000,545.412350
8342000.000000,264.628956
8344000.000000,1070.459304
8346000.000000,851.424462
8348000.000000,363.119027
8350000.000000,651.859073
8352000.000000,1108.580146
8354000.000000,897.738666
8356000.000000,744.357894
8358000.000000,264.395283
8360000.000000,625.660428
8362000.000000,541.588284
8364000.000000,764.544929
8366000.000000,1854.714089
8368000.000000,787.666933
8370000.000000,265.624770
8372000.000000,1634.301281
8374000.000000,671.207872
8376000.000000,546.627963
8378000.000000,488.042562
8380000.000000,1617.716377
8382000.000000,851.078059
8384000.000000,352.082481
8386000.000000,1330.195663
8388000.000000,3033.433894
8390000.000000,2023.466123
8392000.000000,1323.094185
8394000.000000,471.607472
8396000.000000,591.553485
8398000.000000,200.127147
8400000.000000,765.409276
8402000.000000,374.615422
8404000.000000,1523.886256
8406000.000000,594.561377
8408000.000000,1216.625920
8410000.000000,806.385796
8412000.000000,1194.318497
8414000.000000,273.534420
8416000.000000,255.404130
8418000.000000,370.836278
8420000.000000,499.184564
8422000.000000,502.560266
8424000.000000,857.067932
8426000.000000,843.189407
8428000.000000,303.632982
8430000.000000,666.655654
8432000.000000,309.561782
8434000.000000,367.187268
8436000.000000,1153.983875
8438000.000000,765.180118
8440000.000000,120.032331
8442000.000000,94.539877
8444000.000000,385.870290
8446000.000000,711.359400
8448000.000000,816.981937
