Frequency,Power
10950000.000000,5619.049281
10958000.000000,955.513561
10966000.000000,658.315021
10974000.000000,590.427350
10982000.000000,357.370066
10990000.000000,1448.756241
10998000.000000,859.530756
11006000.000000,526.119907
11014000.000000,738.115069
11022000.000000,329.601121
11030000.000000,473.224623
11038000.000000,682.300458
11046000.000000,332.300803
11054000.000000,417.519867
11062000.000000,414.944389
11070000.000000,495.332501
11078000.000000,678.826065
11086000.000000,526.112644
11094000.000000,618.025711
11102000.000000,789.226876
11110000.000000,339.105276
11118000.000000,655.020305
11126000.000000,399.633103
11134000.000000,1592.149275
11142000.000000,981.819772
11150000.000000,9681.367377
11158000.000000,1333.366310
11166000.000000,354.293829
11174000.000000,1859.208184
11182000.000000,4440.161057
11190000.000000,4491.684099
11198000.000000,1404.327997
11206000.000000,1325.904463
11214000.000000,1148.637547
11222000.000000,1515.734462
11230000.000000,1709.571581
11238000.000000,940.714852
11246000.000000,2451.229065
11254000.000000,6603.806412
11262000.000000,1742.770663
11270000.000000,53829.784214
11278000.000000,6004.146324
11286000.000000,12950.949691
11294000.000000,12174.482707
11302000.000000,3823.290450
11310000.000000,608.618957
11318000.000000,356.091506
11326000.000000,6753.413476
11334000.000000,9135.004845
11342000.000000,3199.129357
11350000.000000,2253.760690
11358000.000000,2069.971484
11366000.000000,1703.564936
11374000.000000,848.273243
11382000.000000,1674.310818
11390000.000000,15059.903638
11398000.000000,1627.742032
11406000.000000,1681.193424
11414000.000000,1622.825814
11422000.000000,1160.932999
11430000.000000,1596.416350
11438000.000000,1109.287569
11446000.000000,686.180162
11454000.000000,651.774975
11462000.000000,951.367471
11470000.000000,419.408369
11478000.000000,834.899596
11486000.000000,792.255085
11494000.000000,805.472692
11502000.000000,716.913492
11510000.000000,585.207889
11518000.000000,568.778725
11526000.000000,671.884849
11534000.000000,720.506080
11542000.000000,944.618919
11550000.000000,1128.255476
11558000.000000,1759.260331
11566000.000000,5839.794989
11574000.000000,6040.581809
11582000.000000,2108.467795
11590000.000000,1428.330987
11598000.000000,707.910581
11606000.000000,1631.294547
11614000.000000,2455.564080
11622000.000000,1322.402829
11630000.000000,1482.663596
11638000.000000,1655.773356
11646000.000000,1765.018886
11654000.000000,1162.674407
11662000.000000,697.968316
11670000.000000,326.244608
11678000.000000,513.425488
11686000.000000,505.088314
11694000.000000,555.388369
11702000.000000,641.453708
11710000.000000,773.908866
11718000.000000,1296.769249
11726000.000000,1657.688669
11734000.000000,673.886776
11742000.000000,614.352992
11750000.000000,649.951723
11758000.000000,1007.941791
11766000.000000,1222.771422
11774000.000000,1274.435742
11782000.000000,1503.796478
11790000.000000,1951.212290
11798000.000000,3579.665487
11806000.000000,7590.700736
11814000.000000,8217.053536
11822000.000000,3196.133408
11830000.000000,1861.492920
11838000.000000,1404.399201
11846000.000000,1758.342227
11854000.000000,942.473441
11862000.000000,452.298270
11870000.000000,515.773703
11878000.000000,478.593439
11886000.000000,255.779969
11894000.000000,1470.385117
11902000.000000,455.106386
11910000.000000,295.364454
11918000.000000,51.129682
11926000.000000,299.642119
11934000.000000,342.669424
11942000.000000,291.302119
11950000.000000,5437.192921
11958000.000000,457.787334
11966000.000000,377.899317
11974000.000000,347.489374
11982000.000000,344.946356
11990000.000000,225.025747
11998000.000000,493.689865
12006000.000000,162.608609
12014000.000000,485.400230
12022000.000000,351.367521
12030000.000000,793.066003
12038000.000000,558.283488
12046000.000000,800.967536
12054000.000000,122.543825
12062000.000000,40.980116
12070000.000000,216.463899
12078000.000000,142.072473
12086000.000000,77.573051
12094000.000000,173.745041
12102000.000000,245.902488
12110000.000000,445.016168
12118000.000000,645.286234
12126000.000000,431.235977
12134000.000000,879.713173
12142000.000000,492.466075
12150000.000000,181.139643
12158000.000000,761.047124
12166000.000000,295.623923
12174000.000000,94.838414
12182000.000000,49.037919
12190000.000000,406.209414
12198000.000000,189.622578
12206000.000000,1057.567603
12214000.000000,2600.178229
12222000.000000,913.741850
12230000.000000,12520.602442
12238000.000000,824.463118
12246000.000000,1277.883112
12254000.000000,809.941918
12262000.000000,394.515355
12270000.000000,153.907690
12278000.000000,168.700651
12286000.000000,252.483025
12294000.000000,759.384980
12302000.000000,247.997430
12310000.000000,682.644813
12318000.000000,530.988411
12326000.000000,830.159924
12334000.000000,1007.914923
12342000.000000,761.739449
12350000.000000,361.115625
12358000.000000,319.740860
12366000.000000,239.895357
12374000.000000,367.569926
12382000.000000,26.907187
12390000.000000,689.679328
12398000.000000,47.852109
12406000.000000,153.683170
12414000.000000,163.321550
12422000.000000,470.788311
12430000.000000,744.630903
12438000.000000,497.671027
12446000.000000,122.901597
12454000.000000,271.866300
12462000.000000,288.361706
12470000.000000,612.024120
12478000.000000,303.485103
12486000.000000,166.737129
12494000.000000,248.983178
12502000.000000,438.812866
12510000.000000,206.457043
12518000.000000,75.441002
12526000.000000,153.508359
12534000.000000,33.707859
12542000.000000,726.192700
12550000.000000,734.099424
12558000.000000,340.400228
12566000.000000,85.797579
12574000.000000,110.054559
12582000.000000,255.426659
12590000.000000,186.194676
12598000.000000,111.668244
12606000.000000,228.649264
12614000.000000,137.238001
12622000.000000,190.267899
12630000.000000,168.616514
12638000.000000,91.439587
12646000.000000,322.274757
12654000.000000,225.039165
12662000.000000,65.053637
12670000.000000,130.426570
12678000.000000,323.915533
12686000.000000,203.849311
12694000.000000,196.896345
12702000.000000,92.592297
12710000.000000,252.599076
12718000.000000,295.108478
12726000.000000,235.312976
12734000.000000,441.948099
12742000.000000,120.159328
12750000.000000,184.689353
12758000.000000,182.904427
12766000.000000,269.197895
12774000.000000,59.795013
