Samples,Power
8050000.000000,77
8052000.000000,44
8054000.000000,27
8056000.000000,-25
8058000.000000,-18
8060000.000000,-56
8062000.000000,-66
8064000.000000,75
8066000.000000,78
8068000.000000,26
8070000.000000,-70
8072000.000000,-58
8074000.000000,-39
8076000.000000,18
8078000.000000,44
8080000.000000,45
8082000.000000,-6
8084000.000000,-81
8086000.000000,2
8088000.000000,13
8090000.000000,60
8092000.000000,0
8094000.000000,62
8096000.000000,-51
8098000.000000,-127
8100000.000000,-12
8102000.000000,135
8104000.000000,137
8106000.000000,-55
8108000.000000,-85
8110000.000000,-83
8112000.000000,38
8114000.000000,79
8116000.000000,54
8118000.000000,-45
8120000.000000,-81
8122000.000000,17
8124000.000000,36
8126000.000000,77
8128000.000000,-61
8130000.000000,-57
8132000.000000,-21
8134000.000000,42
8136000.000000,-13
8138000.000000,7
8140000.000000,92
8142000.000000,-2
8144000.000000,-63
8146000.000000,-73
8148000.000000,36
8150000.000000,21
8152000.000000,19
8154000.000000,2
8156000.000000,-8
8158000.000000,27
8160000.000000,29
8162000.000000,19
8164000.000000,-63
8166000.000000,8
8168000.000000,27
8170000.000000,65
8172000.000000,-37
8174000.000000,-51
8176000.000000,62
8178000.000000,118
8180000.000000,-2
8182000.000000,-150
8184000.000000,-46
8186000.000000,79
8188000.000000,142
8190000.000000,-5
8192000.000000,-105
8194000.000000,-88
8196000.000000,58
8198000.000000,146
8200000.000000,-10
8202000.000000,-118
8204000.000000,-122
8206000.000000,95
8208000.000000,137
8210000.000000,24
8212000.000000,-150
8214000.000000,-54
8216000.000000,108
8218000.000000,40
8220000.000000,-54
8222000.000000,-88
8224000.000000,79
8226000.000000,60
8228000.000000,30
8230000.000000,-88
8232000.000000,-45
8234000.000000,77
8236000.000000,94
8238000.000000,26
8240000.000000,-169
8242000.000000,-70
8244000.000000,66
8246000.000000,180
8248000.000000,30
8250000.000000,-100
8252000.000000,-92
8254000.000000,-2
8256000.000000,64
8258000.000000,38
8260000.000000,42
8262000.000000,-93
8264000.000000,-80
8266000.000000,-35
8268000.000000,102
8270000.000000,76
8272000.000000,-7
8274000.000000,-68
8276000.000000,-112
8278000.000000,-3
8280000.000000,42
8282000.000000,93
8284000.000000,-35
8286000.000000,-56
8288000.000000,-23
8290000.000000,28
8292000.000000,2
8294000.000000,-92
8296000.000000,13
8298000.000000,74
8300000.000000,68
8302000.000000,-112
8304000.000000,-68
8306000.000000,37
8308000.000000,100
8310000.000000,23
8312000.000000,-85
8314000.000000,-89
8316000.000000,-39
8318000.000000,136
8320000.000000,88
8322000.000000,-7
8324000.000000,-100
8326000.000000,-31
8328000.000000,1
8330000.000000,-5
8332000.000000,6
8334000.000000,14
8336000.000000,32
8338000.000000,-66
8340000.000000,-28
8342000.000000,6
8344000.000000,108
8346000.000000,9
8348000.000000,-95
8350000.000000,-76
8352000.000000,5
8354000.000000,99
8356000.000000,20
8358000.000000,-4
8360000.000000,-64
8362000.000000,4
8364000.000000,-4
8366000.000000,5
8368000.000000,-31
8370000.000000,7
8372000.000000,85
8374000.000000,-1
8376000.000000,-86
8378000.000000,-115
