Samples,Power
8050000.000000,-126
8052000.000000,-139
8054000.000000,59
8056000.000000,136
8058000.000000,83
8060000.000000,-147
8062000.000000,-96
8064000.000000,-6
8066000.000000,96
8068000.000000,43
8070000.000000,-21
8072000.000000,-12
8074000.000000,-18
8076000.000000,38
8078000.000000,-34
8080000.000000,-26
8082000.000000,-2
8084000.000000,123
8086000.000000,41
8088000.000000,-114
8090000.000000,-103
8092000.000000,85
8094000.000000,214
8096000.000000,0
8098000.000000,-126
8100000.000000,-131
8102000.000000,54
8104000.000000,98
8106000.000000,77
8108000.000000,-7
8110000.000000,-87
8112000.000000,-13
8114000.000000,18
8116000.000000,38
8118000.000000,-18
8120000.000000,13
8122000.000000,13
8124000.000000,-19
8126000.000000,-38
8128000.000000,-2
8130000.000000,113
8132000.000000,50
8134000.000000,-112
8136000.000000,-154
8138000.000000,57
8140000.000000,123
8142000.000000,71
8144000.000000,-61
8146000.000000,-39
8148000.000000,4
8150000.000000,25
8152000.000000,38
8154000.000000,-83
8156000.000000,-25
8158000.000000,62
8160000.000000,129
8162000.000000,-44
8164000.000000,-108
8166000.000000,-16
8168000.000000,99
8170000.000000,65
8172000.000000,-122
8174000.000000,-67
8176000.000000,14
8178000.000000,136
8180000.000000,2
8182000.000000,-59
8184000.000000,-75
8186000.000000,-18
8188000.000000,57
8190000.000000,28
8192000.000000,6
8194000.000000,-78
8196000.000000,-2
8198000.000000,24
8200000.000000,57
8202000.000000,4
8204000.000000,-47
8206000.000000,-55
8208000.000000,-46
8210000.000000,49
8212000.000000,44
8214000.000000,58
8216000.000000,-64
8218000.000000,-63
8220000.000000,-5
8222000.000000,51
8224000.000000,-7
8226000.000000,-50
8228000.000000,30
8230000.000000,19
8232000.000000,1
8234000.000000,-79
8236000.000000,17
8238000.000000,50
8240000.000000,60
8242000.000000,-17
8244000.000000,-133
8246000.000000,-87
8248000.000000,41
8250000.000000,186
8252000.000000,36
8254000.000000,-138
8256000.000000,-181
8258000.000000,73
8260000.000000,185
8262000.000000,42
8264000.000000,-118
8266000.000000,-138
8268000.000000,18
8270000.000000,82
8272000.000000,104
8274000.000000,-24
8276000.000000,-67
8278000.000000,-41
8280000.000000,37
8282000.000000,9
8284000.000000,-41
8286000.000000,33
8288000.000000,39
8290000.000000,59
8292000.000000,-102
8294000.000000,-59
8296000.000000,8
8298000.000000,59
8300000.000000,3
8302000.000000,-42
8304000.000000,-10
8306000.000000,-45
8308000.000000,16
8310000.000000,45
8312000.000000,57
8314000.000000,-96
8316000.000000,-70
8318000.000000,-24
8320000.000000,-9
8322000.000000,43
8324000.000000,78
8326000.000000,74
8328000.000000,-102
8330000.000000,-86
8332000.000000,-26
8334000.000000,111
8336000.000000,59
8338000.000000,-32
8340000.000000,-85
8342000.000000,-35
8344000.000000,102
8346000.000000,64
8348000.000000,29
8350000.000000,-76
8352000.000000,-31
8354000.000000,17
8356000.000000,44
8358000.000000,0
8360000.000000,-25
8362000.000000,77
8364000.000000,24
8366000.000000,-34
8368000.000000,-116
