Frequency,Power
10950000.000000,169.172404
10958000.000000,308.190325
10966000.000000,209.369976
10974000.000000,327.310274
10982000.000000,1011.599871
10990000.000000,527.091190
10998000.000000,383.547241
11006000.000000,258.484266
11014000.000000,148.504639
11022000.000000,338.366864
11030000.000000,179.329095
11038000.000000,64.326042
11046000.000000,194.962589
11054000.000000,49.748678
11062000.000000,144.758430
11070000.000000,246.119736
11078000.000000,271.198103
11086000.000000,166.060246
11094000.000000,210.588054
11102000.000000,2473.676547
11110000.000000,320.763798
11118000.000000,230.119801
11126000.000000,230.820911
11134000.000000,217.405232
11142000.000000,279.610028
11150000.000000,290.871544
11158000.000000,200.919145
11166000.000000,267.370880
11174000.000000,258.291809
11182000.000000,27.132789
11190000.000000,241.238342
11198000.000000,96.702042
11206000.000000,161.332057
11214000.000000,232.244987
11222000.000000,128.945604
11230000.000000,249.937072
11238000.000000,172.799541
11246000.000000,278.623599
11254000.000000,188.473291
11262000.000000,132.059484
11270000.000000,224.214575
11278000.000000,108.253984
11286000.000000,234.997880
11294000.000000,179.421194
11302000.000000,162.507903
11310000.000000,181.081193
11318000.000000,181.886132
11326000.000000,213.235301
11334000.000000,150.566577
11342000.000000,275.980242
11350000.000000,189.595194
11358000.000000,248.462660
11366000.000000,226.259608
11374000.000000,274.463907
11382000.000000,207.363826
11390000.000000,360.187040
11398000.000000,392.496513
11406000.000000,277.007673
11414000.000000,190.246615
11422000.000000,188.949225
11430000.000000,187.056671
11438000.000000,202.749497
11446000.000000,349.431056
11454000.000000,161.189324
11462000.000000,192.502163
11470000.000000,229.725955
11478000.000000,281.131813
11486000.000000,201.457460
11494000.000000,237.828788
11502000.000000,273.209491
11510000.000000,233.627400
11518000.000000,362.482207
11526000.000000,204.133967
11534000.000000,174.549576
11542000.000000,377.006452
11550000.000000,300.190382
11558000.000000,435.961823
11566000.000000,405.588358
11574000.000000,915.580603
11582000.000000,183.299370
11590000.000000,275.968860
11598000.000000,244.686361
11606000.000000,154.137419
11614000.000000,131.282594
11622000.000000,202.757364
11630000.000000,148.704978
11638000.000000,72.917679
11646000.000000,677.177668
11654000.000000,433.540789
11662000.000000,325.705998
11670000.000000,314.482832
11678000.000000,1878.838352
11686000.000000,551.856513
11694000.000000,391.587563
11702000.000000,402.181633
11710000.000000,312.993987
11718000.000000,240.243643
11726000.000000,436.883011
11734000.000000,263.769299
11742000.000000,270.475660
11750000.000000,369.730471
11758000.000000,322.345278
11766000.000000,359.010912
11774000.000000,435.354933
11782000.000000,451.974505
11790000.000000,491.997399
11798000.000000,420.958833
11806000.000000,395.549518
11814000.000000,457.324259
11822000.000000,407.295150
11830000.000000,512.710935
11838000.000000,465.796321
11846000.000000,515.070537
11854000.000000,654.345798
11862000.000000,421.386135
11870000.000000,582.507353
11878000.000000,600.460606
11886000.000000,610.576081
11894000.000000,706.728687
11902000.000000,640.470459
11910000.000000,670.036930
11918000.000000,816.114487
11926000.000000,867.613090
11934000.000000,918.148237
11942000.000000,1069.240383
11950000.000000,1049.833992
11958000.000000,1185.395826
11966000.000000,1327.374668
11974000.000000,1573.113055
11982000.000000,1904.312464
11990000.000000,2244.855513
11998000.000000,2981.613735
12006000.000000,4523.866271
12014000.000000,8567.481124
12022000.000000,2477.866399
12030000.000000,5189.986796
12038000.000000,10942.339967
12046000.000000,4680.457518
12054000.000000,2551.375341
12062000.000000,1871.682865
12070000.000000,362.532916
12078000.000000,1345.803396
12086000.000000,1468.496744
12094000.000000,1015.445903
12102000.000000,1430.114576
12110000.000000,2091.248836
12118000.000000,1326.416500
12126000.000000,1031.679814
12134000.000000,1173.958698
12142000.000000,1051.079643
12150000.000000,544.351732
12158000.000000,529.348865
12166000.000000,940.902836
12174000.000000,487.236942
12182000.000000,209.635589
12190000.000000,247.375823
12198000.000000,1549.904693
12206000.000000,576.408866
12214000.000000,472.569250
12222000.000000,438.085649
12230000.000000,568.177905
12238000.000000,477.356354
12246000.000000,3352.197163
12254000.000000,390.958865
12262000.000000,1317.589085
12270000.000000,682.825296
12278000.000000,13386.646108
12286000.000000,3679.755093
12294000.000000,1996.506131
12302000.000000,1316.048143
12310000.000000,3371.544744
12318000.000000,1125.270309
12326000.000000,684.337450
12334000.000000,695.867911
12342000.000000,717.404814
12350000.000000,901.042925
12358000.000000,1140.864445
12366000.000000,1563.941609
12374000.000000,286.611168
12382000.000000,541.005366
12390000.000000,828.851790
12398000.000000,824.480049
12406000.000000,2026.834002
12414000.000000,1665.261094
12422000.000000,902.105997
12430000.000000,440.284561
12438000.000000,117.589043
12446000.000000,1238.238143
12454000.000000,293.981383
12462000.000000,245.609358
12470000.000000,457.394794
12478000.000000,88.858443
12486000.000000,188.724999
12494000.000000,266.126597
12502000.000000,265.289577
12510000.000000,280.351295
12518000.000000,3533.679306
12526000.000000,111.321336
12534000.000000,424.996741
12542000.000000,357.524222
12550000.000000,236.803683
12558000.000000,179.128050
12566000.000000,200.960631
12574000.000000,290.694674
12582000.000000,160.936571
12590000.000000,71.457256
12598000.000000,201.648238
12606000.000000,93.482959
12614000.000000,176.951256
12622000.000000,41.560034
12630000.000000,103.393175
12638000.000000,185.174035
12646000.000000,170.743012
12654000.000000,195.046007
12662000.000000,199.742748
12670000.000000,77.576082
12678000.000000,55.014652
12686000.000000,86.419975
12694000.000000,122.238701
12702000.000000,146.967187
12710000.000000,340.058578
12718000.000000,326.859035
12726000.000000,567.428864
12734000.000000,430.283968
12742000.000000,150.378423
12750000.000000,76.842186
12758000.000000,434.029112
12766000.000000,439.167281
12774000.000000,383.243630
12782000.000000,396.189024
12790000.000000,78.866161
12798000.000000,200.154563
12806000.000000,58.627777
12814000.000000,107.475688
12822000.000000,282.128361
12830000.000000,919.144962
12838000.000000,1383.341549
12846000.000000,300.514514
12854000.000000,235.643252
12862000.000000,207.085664
12870000.000000,108.052122
12878000.000000,185.253776
12886000.000000,150.741869
12894000.000000,162.502724
12902000.000000,214.943955
12910000.000000,118.496065
