Frequency,Power
9500000.000000,2147483647.000000
9508000.000000,2147483647.000000
9516000.000000,2147483647.000000
9524000.000000,2147483647.000000
9532000.000000,2147483647.000000
9540000.000000,2147483647.000000
9548000.000000,2147483647.000000
9556000.000000,2147483647.000000
9564000.000000,2147483647.000000
9572000.000000,2147483647.000000
9580000.000000,2147483647.000000
9588000.000000,2147483647.000000
9596000.000000,2147483647.000000
9604000.000000,2147483647.000000
9612000.000000,2147483647.000000
9620000.000000,2147483647.000000
9628000.000000,2147483647.000000
9636000.000000,2147483647.000000
9644000.000000,2147483647.000000
9652000.000000,2147483647.000000
9660000.000000,2147483647.000000
9668000.000000,2147483647.000000
9676000.000000,2147483647.000000
9684000.000000,2147483647.000000
9692000.000000,2147483647.000000
9700000.000000,2147483647.000000
9708000.000000,2147483647.000000
9716000.000000,2147483647.000000
9724000.000000,2147483647.000000
9732000.000000,2147483647.000000
9740000.000000,2147483647.000000
9748000.000000,2147483647.000000
9756000.000000,2147483647.000000
9764000.000000,2147483647.000000
9772000.000000,2147483647.000000
9780000.000000,2147483647.000000
9788000.000000,2147483647.000000
9796000.000000,2147483647.000000
9804000.000000,2147483647.000000
9812000.000000,2147483647.000000
9820000.000000,2147483647.000000
9828000.000000,2147483647.000000
9836000.000000,2147483647.000000
9844000.000000,2147483647.000000
9852000.000000,2147483647.000000
9860000.000000,2147483647.000000
9868000.000000,2147483647.000000
9876000.000000,2147483647.000000
9884000.000000,2147483647.000000
9892000.000000,2147483647.000000
9900000.000000,2147483647.000000
9908000.000000,367.270703
9916000.000000,512.139163
9924000.000000,1004.560632
9932000.000000,456.264016
9940000.000000,643.055759
9948000.000000,636.169939
9956000.000000,974.617541
9964000.000000,385.036379
9972000.000000,1178.289765
9980000.000000,865.069934
9988000.000000,2147483647.000000
9996000.000000,2147483647.000000
10004000.000000,2147483647.000000
10012000.000000,2147483647.000000
10020000.000000,2147483647.000000
10028000.000000,2147483647.000000
10036000.000000,2147483647.000000
10044000.000000,2147483647.000000
10052000.000000,2147483647.000000
10060000.000000,2147483647.000000
10068000.000000,2147483647.000000
10076000.000000,2147483647.000000
10084000.000000,2147483647.000000
10092000.000000,2147483647.000000
10100000.000000,2147483647.000000
10108000.000000,2147483647.000000
10116000.000000,2147483647.000000
10124000.000000,2147483647.000000
10132000.000000,2147483647.000000
10140000.000000,2147483647.000000
10148000.000000,2147483647.000000
10156000.000000,18038.845195
10164000.000000,23469.814592
10172000.000000,11979.824393
10180000.000000,4799.147281
10188000.000000,2400.021690
10196000.000000,7650.449394
10204000.000000,4220.619179
10212000.000000,5376.081514
10220000.000000,3801.014077
10228000.000000,8525.824049
10236000.000000,817.406294
10244000.000000,11759.142196
10252000.000000,641.652124
10260000.000000,1289.433276
10268000.000000,1342.249581
10276000.000000,1493.423678
10284000.000000,1375.198166
10292000.000000,1102.211290
10300000.000000,995.844539
10308000.000000,1543.887561
10316000.000000,979.646880
10324000.000000,529.781076
10332000.000000,1680.703181
10340000.000000,1094.878686
10348000.000000,1307.233157
10356000.000000,1231.896818
10364000.000000,1364.677531
10372000.000000,1322.944784
10380000.000000,813.236296
10388000.000000,2044.045148
10396000.000000,958.283476
10404000.000000,1464.699507
10412000.000000,2352.540800
10420000.000000,746.191826
10428000.000000,940.760481
10436000.000000,1695.756287
10444000.000000,617.335647
10452000.000000,1273.986778
10460000.000000,516.940379
10468000.000000,1161.863584
10476000.000000,638.802587
10484000.000000,623.549067
10492000.000000,481.677685
10500000.000000,217.967331
10508000.000000,2299.384824
10516000.000000,2805.812948
10524000.000000,1307.869093
10532000.000000,4636.561961
10540000.000000,759.230712
10548000.000000,540.489697
10556000.000000,1079.943802
10564000.000000,1152.799172
10572000.000000,507.913402
10580000.000000,2617.880133
10588000.000000,1195.689950
10596000.000000,1218.208702
10604000.000000,621.446431
10612000.000000,1683.333415
10620000.000000,501.448612
10628000.000000,1927.755837
10636000.000000,874.694170
10644000.000000,1563.209573
10652000.000000,864.492601
10660000.000000,905.102963
10668000.000000,2098.205449
10676000.000000,741.957503
10684000.000000,431.528569
10692000.000000,946.040378
10700000.000000,614.862195
10708000.000000,466.486815
10716000.000000,534.511498
